,Instrument,Company Name,TRBC Business Sector Name,Company Market Cap,Credit Combined PD (%),Return On Assets - Actual,Total Debt to Common Equity,Price Momentum T12M Volatility
0,TXG.OQ,10X Genomics Inc,Healthcare Services & Equipment,5554622160.99,0.083735,-16.21,,14.111801
1,FCNCA.OQ,First Citizens BancShares Inc (Delaware),Banking & Investment Services,20057742142.84,0.251288,1.01,0.92905,24.651832
2,ME.OQ,23andMe Holding Co.,Healthcare Services & Equipment,339253935.3955,0.235883,-29.76,,14.719923
3,TSVT.OQ,2Seventy Bio Inc,Pharmaceuticals & Medical Research,189336026.44,0.414782,,,34.16369
4,DDD.N,3D Systems Corp,Technology Equipment,692522714.31,0.459605,-1.96,0.60469,21.90011
5,MMM.N,3M Co,Consumer Goods Conglomerates,59716518148.56,0.13972,12.259,1.08851,8.019977
6,FDMT.OQ,4D Molecular Therapeutics Inc,Pharmaceuticals & Medical Research,803767811.6,0.091715,,0.0,19.541229
7,ETNB.OQ,89Bio Inc,Pharmaceuticals & Medical Research,1033655460.47,0.248384,,0.12969,28.963257
8,EGHT.OQ,8x8 Inc,Telecommunications Services,428794049.97,0.317889,4.4,4.92209,24.693342
9,AOS.N,A O Smith Corp,Industrial Goods,12062713915.08,0.029621,14.359,0.19712,4.928321
10,AMRK.OQ,A-Mark Precious Metals Inc,Mineral Resources,664530471.92,0.477333,,1.14798,12.247392
11,ATEN.N,A10 Networks Inc,Software & IT Services,1004572935.2,0.028635,,,11.250921
12,AAON.OQ,Aaon Inc,Industrial Goods,5753760772.74,0.048432,,0.13813,6.849504
13,AIR.N,AAR Corp,Industrial Goods,2114535689.84,0.067323,,0.24538,8.531783
14,AAN.N,Aaron's Company Inc,Banking & Investment Services,317244342.02,0.358838,3.919,0.34859,22.867229
15,ABT.N,Abbott Laboratories,Healthcare Services & Equipment,197771788421.12,0.030672,12.65,0.4572,7.430868
16,ABBV.N,Abbvie Inc,Pharmaceuticals & Medical Research,286723277170.4,0.07307,17.239,3.66703,6.890166
17,ABCL.OQ,Abcellera Biologics Inc,Pharmaceuticals & Medical Research,1564017598.99,0.148263,11.089,,18.012688
18,ANF.N,Abercrombie & Fitch Co,Retailers,4878750087.22,0.05966,0.06,0.42722,16.784344
19,ABM.N,ABM Industries Inc,Industrial & Commercial Services,2644567234.26,0.153814,4.73,0.73643,7.895829
20,ASO.OQ,Academy Sports and Outdoors Inc,Retailers,4604059432.56,0.128466,14.07,0.36078,12.630199
21,ACHC.OQ,Acadia Healthcare Company Inc,Healthcare Services & Equipment,7917706629.36,0.139759,5.639,0.4969,7.921548
22,ACAD.OQ,ACADIA Pharmaceuticals Inc,Pharmaceuticals & Medical Research,4716902231.21,0.061646,-33.539,,15.342857
23,AKR.N,Acadia Realty Trust,Real Estate,1740603186.92,0.342625,-0.89,1.06398,7.923404
24,ACEL.N,Accel Entertainment Inc,Cyclical Consumer Services,839552511.6,0.156971,10.8,3.03506,6.744349
25,ACN.N,Accenture PLC,Software & IT Services,237498060967.83,0.022899,15.38,0.00576,7.476302
26,ACCD.OQ,Accolade Inc,Healthcare Services & Equipment,1078287965.51,0.220081,-42.0,0.59715,28.604143
27,SLRN.OQ,ACELYRIN Inc,Pharmaceuticals & Medical Research,687216827.64,0.121663,,,
28,ACIW.OQ,ACI Worldwide Inc,Financial Technology (Fintech) & Infrastructure,3282333331.65,0.191717,,0.91341,9.932023
29,ACRS.OQ,Aclaris Therapeutics Inc,Pharmaceuticals & Medical Research,65452643.256,1.415455,,,46.225664
30,ACMR.OQ,ACM Research Inc,Technology Equipment,1321856008.95,0.084999,4.799,0.11412,15.235147
31,AYI.N,Acuity Brands Inc,Cyclical Consumer Products,6920519119.49,0.034823,,0.24591,9.019553
32,ABOS.OQ,Acumen Pharmaceuticals Inc,Pharmaceuticals & Medical Research,224692588.68,0.117412,-20.07,,33.931903
33,GOLF.N,Acushnet Holdings Corp,Cyclical Consumer Products,4125335330.9,0.092543,9.49,0.60509,6.186445
34,ACVA.OQ,ACV Auctions Inc,Software & IT Services,2261760586.14,0.118214,-10.769,0.15544,12.938539
35,AHCO.OQ,Adapthealth Corp,Healthcare Services & Equipment,945180309.15,1.446605,1.32,1.02012,21.03578
36,ADPT.OQ,Adaptive Biotechnologies Corp,Pharmaceuticals & Medical Research,637000104.4,0.44043,-22.489,,21.224837
37,ADUS.OQ,Addus Homecare Corp,Healthcare Services & Equipment,1410512664.47,0.105668,,0.20799,10.977446
38,AGRO.N,Adecoagro SA,Food & Beverages,1135695392.25,0.202859,4.36,1.19505,10.36429
39,ADEA.OQ,Adeia Inc,Software & IT Services,1209980787.81,0.27717,,2.41992,13.568135
40,ADNT.N,Adient PLC,Automobiles & Auto Parts,3058293058.56,0.281973,2.209,1.13779,8.621801
41,ADMA.OQ,ADMA Biologics Inc,Pharmaceuticals & Medical Research,1127578663.32,0.129281,,0.93985,17.11075
42,ADBE.OQ,Adobe Inc,Software & IT Services,271604662000.0,0.027258,25.91,0.22,11.332435
43,ADP.OQ,Automatic Data Processing Inc,Software & IT Services,97047363312.9,0.030921,6.0,0.85213,5.224443
44,ADT.N,ADT Inc,Technology Equipment,5816692283.11,0.921205,1.25,2.8966,9.616659
45,ATGE.N,Adtalem Global Education Inc,Academic & Educational Services,2337531965.26,0.196206,,0.47695,8.982396
46,ADTN.OQ,ADTRAN Holdings Inc,Technology Equipment,561910852.86,0.663773,,0.1212,19.192301
47,WMS.N,Advanced Drainage Systems Inc,Cyclical Consumer Products,9987005496.84,0.106977,18.269,1.35558,11.086084
48,AAP.N,Advance Auto Parts Inc,Retailers,3647471987.0,0.908103,6.54,0.51735,17.78968
49,ASIX.N,AdvanSix Inc,Chemicals,702412900.8,0.267238,,0.15817,11.714986
50,AEIS.OQ,Advanced Energy Industries Inc,Industrial Goods,3810828758.54,0.095303,12.849,0.35006,8.87854
51,ACM.N,AECOM,Industrial & Commercial Services,12308206359.54,0.05384,4.639,0.9957,6.83353
52,AEHR.OQ,Aehr Test Systems,Technology Equipment,503123998.11,0.062199,,,22.425894
53,AEP.OQ,American Electric Power Company Inc,Utilities,42853637603.21,0.116926,2.879,1.70904,3.988514
54,AER.N,AerCap Holdings NV,Industrial & Commercial Services,15601400124.75,0.366352,3.029,2.88711,8.839933
55,AVAV.OQ,AeroVironment Inc,Industrial Goods,3567530680.0,0.046768,,0.24213,7.407539
56,ASLE.OQ,AerSale Corp,Industrial Goods,570262968.0,0.230114,8.0,0.0,18.159875
57,AES.N,AES Corp,Utilities,12347959405.4,0.380524,4.389,14.69543,13.77244
58,AMG.N,Affiliated Managers Group Inc,Banking & Investment Services,4997930659.88,0.105634,3.209,0.78485,9.176087
59,AFRM.OQ,Affirm Holdings Inc,Financial Technology (Fintech) & Infrastructure,12609446057.46,0.671969,-13.029,2.109,28.226861
60,AFL.N,Aflac Inc,Insurance,48351592015.86,0.06111,2.5,0.45243,6.014052
61,AGCO.N,AGCO Corp,Industrial Goods,8805131791.83,0.059879,9.65,0.37783,6.962845
62,AGEN.OQ,Agenus Inc,Pharmaceuticals & Medical Research,244157101.44,0.944966,,,21.110965
63,A.N,Agilent Technologies Inc,Healthcare Services & Equipment,38248755475.08,0.048526,15.119,0.46792,8.228949
64,AGTI.N,Agiliti Inc,Healthcare Services & Equipment,974925279.51,0.539494,4.74,1.1574,21.735449
65,AGL.N,agilon health inc,Healthcare Services & Equipment,2996582019.12,0.323218,-6.49,0.04176,21.689672
66,AGYS.OQ,Agilysys Inc,Software & IT Services,1916190105.6,0.021106,,2e-05,9.972146
67,AGIO.OQ,Agios Pharmaceuticals Inc,Pharmaceuticals & Medical Research,1270967798.16,0.096323,-17.32,0.0,9.292265
68,AGNC.OQ,AGNC Investment Corp,Real Estate,6758036000.13,0.83312,2.799,5.83018,8.971186
69,ADC.N,Agree Realty Corp,Real Estate,6318669410.62,0.216003,,0.43694,4.51597
70,AIG.N,American International Group Inc,Insurance,47387723152.5,0.128221,0.64,0.67134,9.115542
71,AIV.N,Apartment Investment and Management Co,Real Estate,1141298231.76,0.943936,,2.12251,8.574119
72,AL.N,Air Lease Corp,Industrial & Commercial Services,4428877082.28,0.628549,-0.5,2.80475,8.497485
73,APD.N,Air Products and Chemicals Inc,Chemicals,58697109901.91,0.081891,8.66,0.72004,4.872361
74,ATSG.OQ,Air Transport Services Group Inc,Transportation,1067864644.0,0.86135,,1.03711,15.315096
75,ABNB.OQ,Airbnb Inc,Software & IT Services,87776327951.26,0.03604,12.73,0.35737,14.662389
76,AKAM.OQ,Akamai Technologies Inc,Software & IT Services,17813208180.8,0.066968,10.429,0.52412,6.69322
77,AKRO.OQ,Akero Therapeutics Inc,Pharmaceuticals & Medical Research,1250127530.52,0.176256,-40.56,0.02922,39.810103
78,ALG.N,Alamo Group Inc,Industrial Goods,2439232367.67,0.037274,,0.38448,4.893272
79,ALRM.OQ,Alarm.com Holdings Inc,Software & IT Services,3134733934.64,0.049262,8.349,0.81884,4.813607
80,ALK.N,Alaska Air Group Inc,Transportation,4503626718.09,0.23457,3.94,0.56578,12.309467
81,AIN.N,Albany International Corp,Industrial Goods,2857296000.0,0.090222,7.549,0.50866,5.77056
82,ALB.N,Albemarle Corp,Chemicals,14792379935.6,0.251205,19.57,0.40364,15.317537
83,ACI.N,Albertsons Companies Inc,Food & Drug Retailing,13081865356.86,0.153241,4.88,5.53182,5.063625
84,AA.N,Alcoa Corp,Mineral Resources,5359511397.24,0.663293,5.98,0.35599,11.218766
85,ALDX.OQ,Aldeyra Therapeutics Inc,Pharmaceuticals & Medical Research,188818886.43,0.253226,,0.10486,31.396788
86,ALEC.OQ,Alector Inc,Pharmaceuticals & Medical Research,654581044.18,0.181246,,0.0,22.241521
87,ALEX.N,Alexander & Baldwin Inc (Hawaii),Real Estate,1316534117.25,0.224157,,0.45592,5.381395
88,ALX.N,Alexander's Inc,Real Estate,1115942865.0,0.189063,,4.61334,10.064022
89,ARE.N,Alexandria Real Estate Equities Inc,Real Estate,21939151320.0,0.237811,1.56,0.5355,12.270837
90,ASTL.OQ,Algoma Steel Group Inc,Mineral Resources,981122900.61,0.106444,,0.08364,10.703024
91,ALIT.N,Alight Inc,Software & IT Services,4628471024.52,0.113834,2.75,0.64564,10.033071
92,ALGN.OQ,Align Technology Inc,Healthcare Services & Equipment,20804666926.96,0.041431,10.23,0.0,19.157917
93,ALHC.OQ,Alignment Healthcare Inc,Healthcare Services & Equipment,1480651332.21,0.144025,-23.649,0.67684,26.430587
94,ALKT.OQ,Alkami Technology Inc,Software & IT Services,2372601260.56,0.103641,-4.6,0.2532,13.34095
